agel (kyr)	ageu (kyr)	tau_sd (kyr)	P (s)	Perr	Pdot	Pdoterr	Bs(G)	n	S1400	S1400e	dist	Edot	nerr
7.5	18.1	306	0.115364	1.40E-12	5.97E-15	7.00E-20	8.40E+11	3.00E+00	2.20E-02	0	6.357	1.50E+35	0
13	13	13.9	0.315873	3.00E-10	3.60E-13	5.00E-17	1.08E+13	3.00E+00	0.00E+00	0	1.4	4.50E+35	0
25	33	13100	0.54888	3.00E-12	6.62E-16	3.00E-20	6.10E+11	3.00E+00	3.70E+00	7	2.004	1.60E+32	0
0.96	0.96	1.26	0.033392	1.20E-09	4.21E-13	3.00E-18	3.79E+12	2.342E+00	1.40E+01	3	2	4.50E+38	0.001
26	34	618	0.143158	1.10E-13	3.67E-15	1.30E-21	7.33E+11	3.00E+00	1.90E+00	1	1.3	4.90E+34	0
2.2	5.4	193000	0.112799	5.00E-12	9.28E-18	4.00E-19	3.27E+10	3.00E+00	0.00E+00	0	2.2	2.60E+32	0
9	27	11.3	0.089328	4.00E-12	1.25E-13	1.60E-17	3.38E+12	1.70E+00	1.05E+03	60	0.28	6.90E+36	0.2
2.4	5.1	141	0.064686	4.00E-13	7.26E-15	3.00E-20	6.94E+11	3.00E+00	2.80E-01	2	5.638	1.10E+36	0
10	10	21	0.107386	1.50E-12	8.08E-14	6.00E-19	2.98E+12	3.00E+00	9.00E-01	5	3.163	2.60E+36	0
10	20	63.2	0.063202	8.00E-13	1.58E-14	8.00E-20	1.01E+12	3.00E+00	1.20E+00	7	2.36	2.50E+36	0
2	11	1610	0.400526	4.00E-12	3.93E-15	1.20E-19	1.27E+12	3.00E+00	1.40E+01	3	4	2.40E+33	0
7	10	302000	0.424131	1.20E-11	2.22E-17	1.70E-19	9.83E+10	3.00E+00	0.00E+00	0	2.6	1.20E+31	0
2.5	15.3	3950	2.764209	5.00E-10	1.11E-14	1.00E-16	5.60E+12	3.00E+00	1.70E-01	3	12.376	2.10E+31	0
0.7	2	12.7	0.031182	3.00E-10	3.89E-14	6.00E-17	1.11E+12	3.00E+00	2.50E-01	0	7	5.10E+37	0
22	22	114	0.061696	9.00E-13	8.59E-15	5.00E-19	7.37E+11	3.00E+00	7.50E-02	0	8.543	1.40E+36	0
2	4.4	8.13	0.069357	0.000000003	1.35E-13	2.00E-16	3.10E+12	3.00E+00	2.70E-01	2	4.743	1.60E+37	0
10	10	240	0.228569	3.00E-12	1.51E-14	4.00E-19	1.88E+12	3.00E+00	5.10E-01	3	4.836	5.00E+34	0
3	6	55.1	0.182136	6.00E-12	5.23E-14	3.00E-19	3.12E+12	3.00E+00	1.17E+00	7	3.967	3.40E+35	0
0	68	176	0.280424	6.00E-12	2.52E-14	8.00E-20	2.69E+12	3.00E+00	1.68E+01	9	4.6	4.50E+34	0
